State,Coal,Petroleum,Natural Gas ,Total
Alabama,29.6,40.2,38.6,108.4
Alaska,1.8,17.5,19.6,38.9
Arizona,15.4,42.1,25.6,83
Arkansas,20.7,22.5,18.8,62
California,2.7,208.1,113.3,324
Colorado,24.2,33.5,27.7,85.4
Connecticut,0.3,20.1,16.2,36.6
Delaware,0.4,8,4.6,13
District of Columbia,0,1,1.5,2.5
Florida,19.2,123.3,83.9,226.3
Georgia,19.5,64,40.6,124.1
Hawaii,1.2,16,0.1,17.3
Idaho,0.3,13.2,7.1,20.5
Illinois,49.9,77,57.4,184.2
Indiana,71.7,49.4,45.3,166.4
Iowa,25.3,26.3,21.6,73.1
Kansas,21,23.7,15.1,59.8
Kentucky,52.5,39.7,19.1,111.3
Louisiana,9.2,83.7,95.7,188.6
Maine,0.2,11.3,3,14.4
Maryland,6.6,30,16,52.6
Massachusetts,0,34.8,21.3,56.1
Michigan,41.6,56.3,49.9,147.8
Minnesota,17.2,38.6,27.4,83.2
Mississippi,6.2,26.7,30.2,63.1
Missouri,59.1,42.5,15.4,117
Montana,11.8,12.2,4.5,28.5
Nebraska,20.7,16.6,9.9,47.2
Nevada,3.4,19.9,16.1,39.4
New Hampshire,0.3,9.8,3.2,13.3
New Jersey,1.2,51.2,36.7,89.1
New Mexico,12.8,18.3,14.8,45.9
New York,0.5,83.7,71.8,156
North Carolina,21.3,60.8,33.4,115.6
North Dakota,34.7,11.8,10.1,56.5
Ohio,54.8,71.4,67.8,194
Oklahoma,12.6,36.5,38.7,87.8
Oregon,0.1,22.4,16,38.5
Pennsylvania,45.9,70,97.6,213.5
Rhode Island,0,5.1,5.6,10.6
South Carolina,15.6,35.5,18.3,69.3
South Dakota,2.1,8.1,5,15.2
Tennessee,21.6,49.5,21.5,92.7
Texas,92.8,325.4,245.3,663.5
Utah,26.5,21.2,14.4,62.1
Vermont,0,4.8,0.7,5.6
Virginia,6.5,54.7,36.8,98
Washington,3.5,50.2,20.1,73.8
West Virginia,60.6,13.4,14.4,88.4
Wisconsin,27.5,35.7,29.3,92.5
Wyoming,36.1,10.2,8.3,54.6
