State,Commercial,Electric Power,Residential,Industrial,Transportation,Total
Alabama,2.3,47.2,2.1,19.6,37.2,108.4
Alaska,2.3,2.8,1.7,18.4,13.7,38.9
Arizona,3.1,34.3,2.5,4.6,38.5,83
Arkansas,3.6,28.5,2.1,8.3,19.5,62
California,19.4,35.3,26.2,63.9,179.1,324
Colorado,4.4,30.6,8.3,13.2,28.9,85.4
Connecticut,4.3,9.2,7.2,1.6,14.3,36.6
Delaware,1.1,1.8,1,3.8,5.4,13
District of Columbia,0.9,0,0.7,0,0.9,2.5
Florida,6.8,91.2,1.5,12.3,114.6,226.3
Georgia,4.6,40.9,7.4,12.7,58.6,124.1
Hawaii,0.5,5.8,0.1,1,10,17.3
Idaho,1.5,2,2,3.4,11.6,20.5
Illinois,14.2,52.4,23,34.5,60.1,184.2
Indiana,6.1,68.8,8.2,43.4,39.8,166.4
Iowa,3.8,24.1,4.8,20.5,19.8,73.1
Kansas,2.7,22.2,3.8,13.5,17.5,59.8
Kentucky,2.7,56.9,3.1,14.9,33.7,111.3
Louisiana,2.4,30.4,2.1,108.9,44.8,188.6
Maine,1.8,1.3,2.7,1.6,7.1,14.4
Maryland,5.2,11.2,5.7,2.8,27.6,52.6
Massachusetts,7.4,6.1,12.5,3.3,26.7,56.1
Michigan,10.8,52.9,19,17.6,47.5,147.8
Minnesota,6.8,21.2,9.3,16.7,29.1,83.2
Mississippi,1.6,25.2,1.5,11.3,23.4,63.1
Missouri,4.6,60.2,6.3,8.6,37.2,117
Montana,1.6,12.5,1.7,4.5,8.2,28.5
Nebraska,2.1,19.8,2.4,9.1,13.8,47.2
Nevada,2.3,13.7,2.6,3.1,17.8,39.4
New Hampshire,1.4,2.1,2.5,0.7,6.6,13.3
New Jersey,9.9,13.3,14.8,8.4,42.7,89.1
New Mexico,1.8,17.1,2.3,8.4,16.3,45.9
New York,21.8,25,33.7,8.3,67.3,156
North Carolina,5.2,40.1,5.4,10.1,54.8,115.6
North Dakota,1.2,27.4,1.1,17.9,8.8,56.5
Ohio,12,68.5,17.3,37.5,58.8,194
Oklahoma,3.2,26.7,4,23.1,30.8,87.8
Oregon,2.4,8.2,2.9,4.7,20.2,38.5
Pennsylvania,11.4,77.5,19.3,49.3,56,213.5
Rhode Island,0.9,3.4,2.1,0.6,3.6,10.6
South Carolina,2.3,25,2.1,7.3,32.6,69.3
South Dakota,0.8,2.4,1,4,7,15.2
Tennessee,4.3,24,4.4,14.3,45.7,92.7
Texas,14.2,180.3,12.2,241.6,215.2,663.5
Utah,3,29.9,4.1,6.8,18.2,62.1
Vermont,0.9,0,1.4,0.4,2.9,5.6
Virginia,6,24.4,6.2,11.6,49.8,98
Washington,4.7,9.8,6,11.6,41.6,73.8
West Virginia,1.7,59,1.7,13.2,12.9,88.4
Wisconsin,6.7,35,9.5,11.9,29.4,92.5
Wyoming,0.9,34.1,0.9,11.2,7.5,54.6
