Sector,subsector,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Residential Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coal,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Petroleum Products,1.4,1.5,1.3,1.3,1.2,0.9,0.9,0.9,1.3,1.6,1.1,1,1,1.2,1,1.2,1,1.2,1.4,1.5,1.3,1.6,1.1,1.2,1.2,1.1,1,0.9,1.5,1.4,1.3,1,1.1,1.4,1.7,2,1.7,1.8,2.1,2.1,2.1,2,1.5,1.5,1.2,1.4,1.5,1.4,1.6,1.7,1.6,1.6
,Natural Gas,30.9,35.3,35.5,34.3,32.4,35.3,33.4,30.2,30,32.8,29.3,27,29.8,27.5,26,29,25.5,27.4,27.1,28.3,28.2,27.7,26.1,27.6,28.2,25.6,26,25.8,30.8,30.6,26.2,27.6,27.6,26.9,27.7,26.2,26.7,26.9,26.7,26.2,26.8,27.7,25.9,26.2,21.7,22,22.6,23.6,23.2,25.4,25.1,24.6
,Total,32.4,36.7,36.9,35.6,33.6,36.2,34.3,31.1,31.3,34.4,30.4,28,30.8,28.7,27,30.3,26.6,28.6,28.5,29.8,29.5,29.3,27.2,28.8,29.4,26.8,27,26.8,32.3,31.9,27.6,28.6,28.7,28.3,29.5,28.2,28.4,28.6,28.8,28.3,29,29.7,27.3,27.7,22.9,23.4,24.1,25.1,24.8,27.1,26.6,26.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial Sector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coal,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0.1,0,0.3,0.3,0.3,0.3,0.2,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Petroleum Products,5.5,5.9,4.5,4.8,5,3.4,3.3,3.9,4.1,3.9,5.7,8.1,5.5,4.3,5.1,2.7,3.9,4.4,4,3.5,3.3,3.4,1.9,1.5,1.5,1.8,1.5,1.4,1.7,1.7,1.8,1.6,1.4,1.4,1.6,1.6,1.2,1.4,2,2.1,2.7,2.4,2.2,2.1,2.1,5.6,5.9,5.9,6,6.1,5.7,6.3
,Natural Gas,11.7,13.4,12.9,13,12.8,13.5,12.3,12.7,12.3,14.4,14.3,13.1,13.1,11.9,10.6,11.3,10,11.6,13.5,14.3,15.6,15.6,15.5,13.8,14.2,15,12.9,13.7,15.8,13.2,12.5,13.2,12.9,12.6,12.5,12.6,13.3,13.7,13.7,13.5,13.5,13.3,13.7,13.9,12.9,12.9,13,13,13.6,14,12.7,13.1
